title,author,isbn,category,totalCopies,availableCopies,publishedYear
Poppy's Return,Avi,0060000147,Juvenile Fiction,100,100,2006
Diary of a Spider,Doreen Cronin,0060001534,Juvenile Fiction,100,100,2005
An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,0060004509,Juvenile Fiction,100,100,2005
The Paradox of Choice,Barry Schwartz,0060005696,Business & Economics,100,100,2005
How to Read Literature Like a Professor,Thomas C. Foster,006000942X,Literary Criticism,100,100,2003
The Amazing Maurice and His Educated Rodents,Terry Pratchett,006001234X,Juvenile Fiction,100,100,2001
The Wee Free Men,Terry Pratchett,0060012382,Juvenile Fiction,100,100,2004
Going Postal,Terry Pratchett,0060013133,Fiction,100,100,2004
Modern Mind,Peter Watson,0060084383,Science,100,100,2002
She Went All the Way,Meg Cabot,0060085444,Fiction,100,100,2002
Island,Aldous Huxley,0060085495,Fiction,100,100,1962
A Year in the Life of William Shakespeare,James Shapiro,0060088745,Biography & Autobiography,100,100,2006
Lucy Sullivan Is Getting Married,Marian Keyes,0060090375,Fiction,100,100,2002
The Terminal Man,Michael Crichton,0060092572,Fiction,100,100,2002
The Art of the Novel,Milan Kundera,0060093749,Literary Criticism,100,100,2003
The Bromeliad Trilogy,Terry Pratchett,0060094931,Juvenile Fiction,100,100,2003
"Merry Christmas, Amelia Bedelia",Peggy Parish,0060099453,Juvenile Fiction,100,100,2002
Identity,Milan Kundera,0060175648,Fiction,100,100,1998
The thief of always,Clive Barker,0060177241,Fiction,100,100,1992
The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,006019250X,Fiction,100,100,1998
Mars and Venus Book of Days,John Gray,0060192771,Family & Relationships,100,100,1998
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,0060218053,Juvenile Fiction,100,100,1996
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,0060245603,Juvenile Fiction,100,100,1998
The Missing Piece Meets the Big O,Shel Silverstein,0060256575,Juvenile Fiction,100,100,1981
"Lafcadio, the Lion Who Shot Back",Shel Silverstein,0060256753,Juvenile Fiction,100,100,1963
The Secret Garden Cookbook,Amy Cotler,0060277408,Juvenile Nonfiction,100,100,1999
Laura's Album,William Anderson,0060278420,Juvenile Nonfiction,100,100,1998
Quivers,Robin Quivers,0060391537,African Americans in radio broadcasting,100,100,1995
Moonspinners,Mary Stewart,0060502959,Fiction,100,100,2003
Small Wonder,Barbara Kingsolver,0060504080,Literary Collections,100,100,2003
Worlds Enough & Time,Dan Simmons,0060506040,Fiction,100,100,2002
The Cheese Monkeys,Chip Kidd,0060507403,Fiction,100,100,2002
Travels,Michael Crichton,0060509058,Biography & Autobiography,100,100,2002
Caesar,Colleen McCullough,0060510854,Fiction,100,100,2003
The Forever War,Joe Haldeman,0060510862,Fiction,100,100,2003
Amelia Bedelia Goes Camping,Peggy Parish,0060511060,Juvenile Fiction,100,100,2003
The Secret Sister,Elizabeth Lowell,0060511109,Fiction,100,100,2005
Amelia Bedelia Helps Out,Peggy Parish,0060511117,Juvenile Fiction,100,100,2005
Whirlpool,Elizabeth Lowell,0060511133,Fiction,100,100,2006
"Teach Us, Amelia Bedelia",Peggy Parish,0060511141,Juvenile Fiction,100,100,2004
Cryptonomicon,Neal Stephenson,0060512806,Fiction,100,100,2002
Falling Up,Shel Silverstein,0060513098,Juvenile Nonfiction,100,100,2002
Anansi Boys,Neil Gaiman,0060515198,Fiction,100,100,2006
Fragile Things,Neil Gaiman,0060515228,Fiction,100,100,2006
What Went Wrong?,Bernard Lewis,0060516054,History,100,100,2003
Letters from the Earth,Mark Twain,0060518650,Literary Criticism,100,100,2004
Savannah Blues,Mary Kay Andrews,0060519134,Fiction,100,100,2003
The Whipping Boy,Sid Fleischman,0060521228,Juvenile Fiction,100,100,2003
The Innovator's Dilemma,Clayton M. Christensen,0060521996,Business & Economics,100,100,2003
A Nose for Murder,Lee Charles Kelley,0060524936,Fiction,100,100,2003
Happiness,Will Ferguson,006052510X,Fiction,100,100,2003
Size 12 Is Not Fat,Meg Cabot,0060525118,Fiction,100,100,2006
Warrior of the Light,Paulo Coelho,0060527986,Fiction,100,100,2004
The Devil and Miss Prym,Paulo Coelho,0060527994,Fiction,100,100,2006
The Big Bing,Stanley Bing,0060529571,Business & Economics,100,100,2006
One Hundred Years of Solitude,Gabriel Garcia Marquez,0060531045,Fiction,100,100,2003
Walt Whitman,Justin Kaplan,0060535113,Biography & Autobiography,100,100,2003
How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,0060539097,Biography & Autobiography,100,100,2004
The Outsider,Richard Wright,0060539259,Fiction,100,100,1953
1421,Gavin Menzies,006054094X,History,100,100,2004
The Andromeda Strain,Michael Crichton,0060541814,Fiction,100,100,2003
Congo,Michael Crichton,0060541830,Fiction,100,100,2003
Johnny and the Dead,Terry Pratchett,0060541881,Juvenile Fiction,100,100,2006
Amelia Bedelia 40th Anniversary Collection,Peggy Parish,0060542381,Juvenile Fiction,100,100,2003
The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,0060543493,Juvenile Fiction,100,100,2005
The Bradbury Chronicles,Sam Weller,0060545844,Biography & Autobiography,100,100,2006
Three Rotten Eggs,Gregory Maguire,0060546573,Juvenile Fiction,100,100,2005
The Wicked Day,Mary Stewart,0060548282,Fiction,100,100,2003
