title,author,isbn,category,totalCopies,availableCopies,publishedYear
Not Without My Daughter,Betty Mahmoody;William Hoffer,0552152161,Americans,100,100,2004
Moving Pictures,Terry Pratchett,0552152943,Discworld (Imaginary place),100,100,2005
Reaper Man,Terry Pratchett,0552152951,Discworld (Imaginary place),100,100,2005
Lords and Ladies,Terry Pratchett,055215315X,Discworld (Imaginary place),100,100,2005
Bravo Two Zero,Andy McNab,0552153575,"Persian Gulf War, 1991",100,100,2005
Hogfather,Terry Pratchett,0552154288,Christmas,100,100,2006
Spindle's End,Robin McKinley,0552548227,Children's stories,100,100,2003
Beauty,Robin McKinley,0552548634,Fairy tales,100,100,2004
Vox,Paul Stewart;Chris Riddell,0552554278,Children's stories,100,100,2006
Past Mortem,Ben Elton,0552771236,Fiction,100,100,2005
Popcorn,Ben Elton,0552771848,Criminals,100,100,2003
Merde Actually,Stephen Clarke,0552773085,British,100,100,2006
The Hotel New Hampshire,John Irving,0552992097,Fiction,100,100,1986
בין אלקסרין,Naguib Mahfouz,0552995800,Arabic fiction,100,100,1994
The Sparrow,Mary Doria Russell,0552997773,Life on other planets,100,100,1997
Chocolat,Joanne Harris,0552997994,Chocolate,100,100,1999
Blackberry Wine,Joanne Harris,0552998001,Brewing,100,100,2001
The Short History of a Prince,Jane Hamilton,055299801X,Ballet dancers,100,100,1999
THE HOTEL NEW HAMPSHIRE,JOHN IRVING,0552998087,nan,100,100,2010
Chocolat. Joanne Harris,Joanne Harris,0552998486,Chocolate,100,100,2000
My Movie Business,John Irving,0552998680,Cider house rules. (Motion picture),100,100,2000
Tales of the City,Armistead Maupin,0552998761,City and town life,100,100,2000
More Tales of the City,Armistead Maupin,055299877X,City and town life,100,100,2000
Further Tales of the City,Armistead Maupin,0552998788,City and town life,100,100,2000
Sure of You,Armistead Maupin,0552998818,City and town life,100,100,1991
Five Quarters of the Orange,Joanne Harris,0552998834,Cookery,100,100,2002
The Secret Dreamworld of a Shopaholic,Sophie Kinsella,0552998877,"Finance, Personal",100,100,2000
Dead Famous,Ben Elton,0552999458,Fiction,100,100,2002
High Society,Ben Elton,0552999954,Fiction,100,100,2003
A Brief History of Time,Stephen Hawking,055305340X,Cosmology,100,100,1998
Stephen Hawking's A Brief History of Time,Stephen W. Hawking,0553077724,Nature,100,100,1992
SeinLanguage,Jerry Seinfeld,0553096060,Humor,100,100,1993
Gravity's Rainbow,Thomas Pynchon,0553102710,nan,100,100,1974
The Illustrated a Brief History of Time,Stephen Hawking,0553103741,Science,100,100,1996
Switch on the Night,Ray Bradbury;Leo Dillon;Diane Dillon,0553112449,Juvenile Fiction,100,100,2004
Ragtime,E. L. Doctorow,0553135422,New York (State),100,100,1975
The Greatest Salesman in the World,Og Mandino,055314216X,Selling,100,100,1974
Encyclopedia Brown and the Case of the Treasure Hunt,Donald J. Sobol,0553156500,Juvenile Fiction,100,100,1989
Chicken Trek,Stephen Manes,0553157167,Contests,100,100,1989
Jessica's Bad Idea,Jamie Suzanne;Francine Pascal,0553157272,Juvenile Fiction,100,100,1989
All Fall Down,John Saul,0553173871,Fiction,100,100,1991
The Complete Short Stories of Mark Twain,Mark Twain,0553211951,Fiction,100,100,2005
The Brothers Karamazov,Fyodor Dostoyevsky,0553212168,Fiction,100,100,1970
The Complete Plays of Aristophanes,Aristophanes,0553213431,Drama,100,100,1981
Divine Comedy - Purgatorio,Dante Alighieri,055321344X,nan,100,100,1988
"Maggie, a Girl of the Streets and Other Short Fiction",Stephen Crane,0553213555,Fiction,100,100,1986
Journey To The Center Of The Earth,Jules Verne,0553213970,Fiction,100,100,2006
Slim Down Camp,Stephen Manes,0553233505,Health & Fitness,100,100,1986
Emma,Charlotte Brontë;Jane Austen,0553234315,Fiction,100,100,1983
Goodbye Forever,Barbara Conklin,055324356X,Juvenile Fiction,100,100,1984
The Broken Gun,Louis L'Amour,0553248472,Fiction,100,100,1984
From Socrates to Sartre,T. Z. Lavine,0553251619,Philosophy,100,100,1984
"First, last and always",Barbara Conklin,0553251791,Fiction,100,100,1985
Exodus,Leon Uris,0553258478,Eretz Israel,100,100,1958
Fire Watch,Connie Willis,0553260456,Fiction,100,100,1998
Magician,Raymond E. Feist,0553267604,Apprentices,100,100,1985
Forging the Darksword,Margaret Weis;Tracy Hickman,0553268945,Fiction,100,100,1988
Winter Dreams,Barbara Conklin;Stefanie Curtis,0553270621,Blind,100,100,1988
Shakespeare Alive!,Joseph Papp;Elizabeth Kirkland,0553270818,Drama,100,100,1988
The Road to Gandolfo,Robert Ludlum,0553271091,Fiction,100,100,1992
Doom of the Darksword,Margaret Weis,0553271644,Fiction,100,100,1988
The Delta Star,Joseph Wambaugh,0553273868,Fiction,100,100,1984
The House of the Spirits,Isabel Allende,0553273914,Fiction,100,100,1986
Triumph of the Darksword,Margaret Weis;Tracy Hickman,0553274066,Fiction,100,100,1988
Starting Over,Francine Pascal,0553274910,Juvenile Fiction,100,100,1987
Forbidden Love,Kate William;Francine Pascal,0553275216,Juvenile Fiction,100,100,1987
The New Jessica,Francine Pascal,0553275607,Juvenile Fiction,100,100,1986
Double Love,Francine Pascal;Kate William,0553275674,Juvenile Fiction,100,100,1983
Secrets,Francine Pascal;Kate William,055327578X,Juvenile Fiction,100,100,1983
Narcissus and Goldmund,Hermann Hesse,0553275860,Fiction,100,100,1971
Dear Sister,Kate William;Francine Pascal,0553276727,Juvenile Fiction,100,100,1984
The Angry Hills,Leon Uris,0553277871,Fiction,100,100,1984
I Know why the Caged Bird Sings,Maya Angelou,0553279378,Biography & Autobiography,100,100,1993
Alone in the Crowd,Francine Pascal,0553280872,Juvenile Fiction,100,100,1986
Mitla Pass,Leon Uris,0553282808,Fiction,100,100,1989
Creature,John Saul,0553284118,Fiction,100,100,1990
Journey of Awakening,Ram Dass;Daniel Goleman,0553285726,Self-Help,100,100,1990
Dragon Wing,Margaret Weis;Tracy Hickman,0553286390,Fiction,100,100,1990
Texas! Lucky,Sandra Brown,0553289519,Fiction,100,100,1991
22 Indigo Place,Sandra Brown,0553290851,Fiction,100,100,1991
The Wakefields of Sweet Valley,Kate William;Francine Pascal,0553292781,Juvenile Fiction,100,100,1991
Pebble in the Sky,Isaac Asimov,0553293427,Fiction,100,100,1991
Texas! Sage,Sandra Brown,0553295004,Fiction,100,100,1992
Fire Sea,Margaret Weis;Tracy Hickman,0553295411,Fiction,100,100,1992
Forbidden Knowledge,Stephen R. Donaldson,0553297600,Fiction,100,100,1992
A Whole New Light,Sandra Brown,055329783X,Fiction,100,100,1992
The Robots of Dawn,Isaac Asimov,0553299492,Fiction,100,100,1994
Lila,Robert M. Pirsig,0553299611,Education,100,100,1992
The Mind's I,Douglas R. Hofstadter;Daniel Clement Dennett,0553345842,Philosophy,100,100,1982
The Glory and the Dream,William Manchester,0553345893,History,100,100,1990
Seven Plays,Sam Shepard;Joseph Chaikin,0553346113,Drama,100,100,1984
The Sixties,Todd Gitlin,0553372122,History,100,100,1993
Feersum Endjinn,Iain Banks,0553374591,Fiction,100,100,1995
The Dog Who Loved Too Much,Nicholas H. Dodman,0553375261,Pets,100,100,1997
Girls in Pants,Ann Brashares,0553375938,Juvenile Fiction,100,100,2005
The Fairy Tales of Hermann Hesse,Hermann Hesse,0553377760,Fiction,100,100,1995
Fierce Invalids Home from Hot Climates,Tom Robbins,055337933X,Fiction,100,100,2000
A Brief History of Time,Stephen Hawking,0553380168,Science,100,100,1998
Snow Crash,Neal Stephenson,0553380958,Fiction,100,100,2000
The Diamond Age,Neal Stephenson,0553380966,Fiction,100,100,2000
Stories,Anton Pavlovich Chekhov,0553381008,Fiction,100,100,2000
The bonfire of the vanities,Tom Wolfe,0553381342,Fiction,100,100,1987
Tides of War,Steven Pressfield,0553381393,Fiction,100,100,2001
Men Who Hate Women and the Women Who Love Them,Susan Forward;Joan Torres,0553381415,Family & Relationships,100,100,2002
Beach Music,Pat Conroy,0553381539,Fiction,100,100,2002
The Prince of Tides,Pat Conroy,0553381547,Fiction,100,100,2002
A Clash of Kings,George R. R. Martin,0553381695,Fiction,100,100,2002
Last of the Amazons,Steven Pressfield,0553382047,Fiction,100,100,2003
The Shelters of Stone,Jean M. Auel,0553382616,Fiction,100,100,2004
A Wizard of Earthsea,Ursula K. Le Guin,0553383043,Fiction,100,100,2004
Interface,Neal Stephenson;Frederick George,0553383434,Fiction,100,100,2005
The Cobweb,Neal Stephenson;J. Frederick George,0553383442,Fiction,100,100,2005
Gates Of Fire,Steven Pressfield,055338368X,Fiction,100,100,2005
Odd Thomas,Dean Ray Koontz,0553384287,FICTION,100,100,2006
True Blue,Daniel Topolski;Patrick Robinson,0553400037,London (England),100,100,1989
The Celestine Prophecy,James Redfield,0553409026,Manuscripts,100,100,1994
Death of a Snob,M. C. Beaton,0553409689,Fiction,100,100,1996
Encyclopedia Brown and the Case of the Sleeping Dog,Donald J. Sobol,0553485172,Juvenile Fiction,100,100,1999
Encyclopedia Brown and the Case of the Slippery Salamander,Donald J. Sobol,0553485210,Juvenile Fiction,100,100,2000
Control Freak,Francine Pascal,0553493841,Juvenile Fiction,100,100,2001
Sweet 18,Francine Pascal,0553493973,Juvenile Fiction,100,100,2003
The Time Travelers,Caroline B. Cooney,0553494805,Juvenile Fiction,100,100,2006
Last Wish,Francine Pascal;Kate William,0553507354,Sweet Valley (Imaginary place),100,100,1999
Shadows,John Saul,0553560271,Fiction,100,100,1993
The Road to Yesterday,Lucy Maud Montgomery,0553560689,Juvenile Fiction,100,100,1993
Nightmare Asylum,Steve Perry,0553561588,Fiction,100,100,1993
A Dark and Hungry God Arises,Stephen R. Donaldson,0553562606,Fiction,100,100,1993
"Sam Walton, Made in America",Sam Walton;John Huey,0553562835,Biography & Autobiography,100,100,1993
It Doesn't Take a Hero,H. Norman Schwarzkopf;Peter Petre,0553563386,Biography & Autobiography,100,100,1993
The Hollow Man,Dan Simmons,0553563505,Fiction,100,100,1993
The Hand of Chaos,Margaret Weis,0553563696,Fiction,100,100,1993
Magician,Raymond E. Feist,0553564935,Fiction,100,100,1993
A Kiss Before Dying,Kate William;Francine Pascal,0553566407,Juvenile Fiction,100,100,1996
Adam's Fall,Sandra Brown,0553567683,Fiction,100,100,1994
I. Asimov,Isaac Asimov,055356997X,Biography & Autobiography,100,100,1995
Happily Ever After,Kate William;Francine Pascal,0553570684,Juvenile Fiction,100,100,1997
Heaven's Price,Sandra Brown,0553571575,Fiction,100,100,1995
Vice,Jane Feather,0553572490,Fiction,100,100,1996
The Rise of Endymion,Dan Simmons,0553572989,Fiction,100,100,1998
Brightness Reef,David Brin,0553573306,Fiction,100,100,1996
The Martians,Kim Stanley Robinson,0553574019,Fiction,100,100,2000
Shadows of the Empire,Steve Perry,0553574132,Fiction,100,100,1997
Ship of Destiny,Robin Hobb,0553575651,Fiction,100,100,2001
Floaters,Joseph Wambaugh,0553575953,Fiction,100,100,1997
Tidings of Great Joy,Sandra Brown,0553576003,Fiction,100,100,1999
Send No Flowers,Sandra Brown,0553576011,Fiction,100,100,2000
The Rana Look,Sandra Brown,0553576054,Fiction,100,100,2003
Sunny Chandler's Return,Sandra Brown,0553576062,Fiction,100,100,2004
The Memoirs of Elizabeth Frankenstein,Theodore Roszak,0553576372,Fiction,100,100,1996
Legacy of the Darksword,Margaret Weis;Tracy Hickman,055357812X,Fiction,100,100,1998
The Third Victim,Lisa Gardner,0553578685,Fiction,100,100,2001
Iron Fist,Aaron Allston,0553578979,Fiction,100,100,1998
Fear Nothing,Dean Ray Koontz,0553579754,Fiction,100,100,1998
Reave the Just and Other Tales,Stephen R. Donaldson,0553580140,Fiction,100,100,2000
Dune,Brian Herbert;Kevin J. Anderson,0553580337,Fiction,100,100,2002
Passage,Connie Willis,0553580515,Fiction,100,100,2002
The Truelove Bride,Shana Abé,055358054X,Fiction,100,100,1999
The Summer House,Jean Stone,0553580833,Fiction,100,100,2000
War of the Rats,David L. Robbins,055358135X,Fiction,100,100,2000
A Kiss to Remember,Teresa Medeiros,0553581856,Fiction,100,100,2002
Intimate Enemies,Shana Abe,0553581996,Fiction,100,100,2000
The Secret Swan,Shana Abé,0553582003,Fiction,100,100,2001
A Feast for Crows,George R. R. Martin,055358202X,Fiction,100,100,2006
Icebound,Dean Koontz,0553582909,Fiction,100,100,2000
Intensity,Dean Ray Koontz,0553582917,Fiction,100,100,2000
Death of a Blue Movie Star,Jeffery Deaver,055358295X,Fiction,100,100,2000
Legacy of the Dead,Charles Todd,0553583158,Fiction,100,100,2001
Watchers of Time,Charles Todd,0553583166,Fiction,100,100,2002
A Fearsome Doubt,Charles Todd,0553583174,Fiction,100,100,2003
Hard News,Jeffery Deaver,0553583298,Fiction,100,100,2001
The Face,Dean Ray Koontz,0553584480,Fiction,100,100,2003
The Taking,Dean Ray Koontz,0553584502,Fiction,100,100,2005
Alone,Lisa Gardner,0553584537,Fiction,100,100,2005
The Last Mermaid,Shana Abé,0553584979,FICTION,100,100,2004
Echo of Eternity,Maggie Furey,0553585754,Fiction,100,100,2003
Forty Signs of Rain,Kim Stanley Robinson,0553585800,Fiction,100,100,2005
The Secret on Ararat,Tim F. LaHaye;Bob Phillips,0553586076,Fiction,100,100,2006
A Cold Treachery,Charles Todd,0553586610,Fiction,100,100,2005
Industrial Magic,Kelley Armstrong,0553587072,Fiction,100,100,2004
Haunted,Kelley Armstrong,0553587080,Fiction,100,100,2005
Seventy-Seven Clocks,Christopher Fowler,0553587153,Fiction,100,100,2005
Beach Girls,Luanne Rice,0553587242,Fiction,100,100,2004
The Smoke Thief,Shana Abe,0553588044,Fiction,100,100,2006
Prince of the Blood,Raymond E. Feist,0553588117,Fiction,100,100,2005
Exit Strategy,Kelley Armstrong,0553588192,Fiction,100,100,2007
Velocity,Dean Ray Koontz,0553588257,Fiction,100,100,2005
Forever Odd,Dean Ray Koontz,0553588265,Fiction,100,100,2006
Public Secrets,Nora Roberts,0553589474,Fiction,100,100,2006
Lines and Shadows,Joseph Wambaugh,0553763253,True Crime,100,100,1995
The Universe in a Nutshell,Stephen W. Hawking;STEPHEN W AUTOR HAWKING,055380202X,Science,100,100,2001
Social Intelligence,Daniel Goleman,0553803522,Psychology,100,100,2006
"I, Robot",Isaac Asimov,0553803700,Fiction,100,100,2004
Sailing from Byzantium,Colin Wells,0553803816,History,100,100,2006
The Husband,Dean Ray Koontz,0553804790,Fiction,100,100,2006
The Dream Thief,Shana Abé,0553804936,Fiction,100,100,2006
The Devil in the White City,Erik Larson,0553813536,Architecture,100,100,2004
Nights in Rodanthe,Nicholas Sparks,0553813951,Divorced people,100,100,2003
The Sinner,Tess Gerritsen,0553815024,Boston (Mass.),100,100,2004
The Mapmaker's Wife,Robert Whitaker,0553815393,Amazon River Region,100,100,2005
Princess,Jean Sasson,0553816950,English fiction,100,100,2004
The Surgeon,Tess Gerritsen,055381706X,Boston (Mass.),100,100,2005
The Apprentice,Tess Gerritsen,0553817078,Boston (Mass.),100,100,2005
Light,M. John Harrison,0553900692,Fiction,100,100,2004
The Last of the Mohicans,James Fenimore Cooper,0553902148,Fiction,100,100,2005
THE GOON SHOW,VÁRIOS AUTORES,0563388544,nan,100,100,2005
Doctor Who,Gary Russell,056348649X,Performing Arts,100,100,2006
Terry Jones' Medieval Lives,Terry Jones;Alan Ereira,0563522755,History,100,100,2005
Colossians and Philemon,Robert McL Wilson,0567044718,Religion,100,100,2005
Lord of the Flies,William Golding,0571084834,Airplane crash survival,100,100,1954
Death of a Naturalist,Seamus Heaney,0571090249,Poetry,100,100,1969
The Real Thing,Tom Stoppard,0571125298,Drama,100,100,1984
"New Selected Poems of Seamus Heaney, 1966-1987",Seamus Heaney,0571143725,nan,100,100,2002
Immortality,Milan Kundera,057114456X,Czech fiction,100,100,1992
The Complete Herbal Handbook for the Dog and Cat,Juliette de Baïracli Levy,0571161154,Pets,100,100,1991
The White Castle,Orhan Pamuk,0571164668,Civil law,100,100,1990
Even Cowgirls Get the Blues ; My Own Private Idaho,Gus Van Sant,0571169201,Hitchhiking,100,100,1993
Lawrence Durrell,Ian S. MacNiven,0571172482,Biography & Autobiography,100,100,1998
The Last Temptation,Nikos Kazantzakis,0571178561,Fiction,100,100,2000
Tales from Ovid,Ovid;Ted Hughes,0571191037,Latin poetry,100,100,1997
View with a Grain of Sand,Wisława Szymborska,0571191630,Polish poetry,100,100,1996
The New Life,Orhan Pamuk,0571193781,Bus travel,100,100,1998
Tom Stoppard: Plays 5,Tom Stoppard,0571197515,Drama,100,100,1999
Garden State,Rick Moody,0571200613,Teenagers,100,100,2002
Beowulf,Seamus Heaney,057120113X,Beowulf,100,100,1999
Letters Home,Sylvia Plath,0571201156,"Authors, American",100,100,1999
The Poisonwood Bible,Barbara Kingsolver,057120175X,Americans,100,100,2000
"Girl, Interrupted",James Mangold;Lisa Loomer;Anna Hamilton Phelan,057120211X,Performing Arts,100,100,2000
Gilliam on Gilliam,Terry Gilliam;Ian Christie,0571202802,Performing Arts,100,100,1999
The Music of Chance,Paul Auster,0571203035,Gambling,100,100,2000
My Century,Günter Grass,0571203124,"History, Modern",100,100,2000
Taxi Driver,Paul Schrader,0571203159,Performing Arts,100,100,2000
"The Journals of Sylvia Plath, 1950-1962",Sylvia Plath,0571205216,"Poets, American",100,100,2001
Laughable Loves,Milan Kundera,0571206921,Czech Republic,100,100,1999
Herzog on Herzog,Paul Cronin,0571207081,Performing Arts,100,100,2003
Collected Children's Stories,Sylvia Plath,0571207561,"Children's poetry, American",100,100,2001
The Wars,Timothy Findley,0571207995,Fiction,100,100,2001
Famous Last Words,Timothy Findley,057120905X,Prisoners of war,100,100,2001
Finders Keepers,Seamus Heaney,0571210910,Englisch - Geschichte - Lyrik - Aufsatzsammlung,100,100,2003
Fat Pig,Neil LaBute,057121150X,Drama,100,100,2004
A Beautiful Mind,Sylvia Nasar,0571212921,Mathematicians,100,100,2001
The Greek Islands,Lawrence Durrell,0571214266,Biography & Autobiography,100,100,2002
Vernon God Little,D. B. C. Pierre,0571215165,Black humor (Literature),100,100,2004
Finnegans Wake,James Joyce,0571217354,Dreams,100,100,1975
Tales From Firozsha Baag (Ji),Rohinton Mistry,0571218857,Apartment houses,100,100,2002
The Kid Stays in the Picture,Robert Evans,0571219314,Motion picture actors and actresses,100,100,2004
The Moth Diaries,Rachel Klein,0571219713,Boarding schools,100,100,2005
The Unbearable Lightness of Being,Milan Kundera,0571224385,Adultery,100,100,2004
A Pale View of Hills,Kazuo Ishiguro,0571225373,Fiction,100,100,2005
The Unconsoled,Kazuo Ishiguro,057122539X,Fiction,100,100,2005
The Avignon Quintet,Lawrence Durrell,0571225551,"Short stories, English",100,100,2004
City of Glass,Paul Auster;Paul Karasik;David Mazzucchelli,0571226337,City and town life,100,100,2005
Medea,Robinson Jeffers,0573612250,Greek drama (Tragedy),100,100,1976
Eric,Terry Pratchett,0575048360,Fantasy fiction,100,100,1990
Soul Music,Terry Pratchett,057506689X,Discworld (Imaginary place),100,100,1999
The Last Hero,Terry Pratchett,057506885X,Discworld (Imaginary place),100,100,2001
The Man in the High Castle,Philip K. Dick,0575073357,Alternative histories (Fiction),100,100,2001
Worlds,Joe Haldeman,0575073616,Fiction,100,100,2002
Dark Lord of Derkholm,Diana Wynne Jones,0575075368,Fantasy fiction,100,100,2003
Replay,Ken Grimwood,0575075597,Fantasy,100,100,2005
Grendel,John Gardner,0575075821,Beowulf,100,100,2004
The Hyperion Omnibus,Dan Simmons,0575076267,Fiction,100,100,2004
A Scanner Darkly,Philip K. Dick,057507681X,Detective and mystery stories,100,100,2006
Dark Visions,Stephen King;George R. R. Martin;Dan Simmons,0575402903,"Horror tales, American",100,100,2000
A Sudden Wild Magic,Diana Wynne Jones,0575601973,nan,100,100,1997
The Body,Stephen King;Robin Waterfield,0582418178,Friendship in adolescence,100,100,1999
The Firm,John Grisham,0582418275,Fiction,100,100,1999
Of Mice and Men,John Steinbeck;Susan Shillinglaw,0582461464,Cowboys,100,100,2000
The Caves of Steel,Isaac Asimov,0586008357,Fiction,100,100,1993
Banco,Henri Charrière,0586040102,Biography & Autobiography,100,100,1973
A Darkness at Sethanon,Raymond E. Feist,0586066888,English fiction,100,100,1987
Faerie Tale,Raymond E. Feist,0586071393,Fairy tales,100,100,1989
2061,Arthur C. Clarke,0586203192,Computers,100,100,1997
Mistress of the Empire,Raymond E. Feist;Janny Wurts,0586203796,English fiction,100,100,1997
Servant of the Empire,Raymond E. Feist;Janny Wurts,0586203818,Fantasy,100,100,1990
The Master of Whitestorm,Janny Wurts,0586210687,Fantasy fiction,100,100,1992
The Curse of the Mistwraith,Janny Wurts,0586210695,Fiction,100,100,2004
Magician,Raymond E. Feist,0586217835,Adventure stories,100,100,1993
The witches,Roald Dahl,0590032496,Juvenile Nonfiction,100,100,1997
Common Ground,Molly Bang,0590100564,Juvenile Nonfiction,100,100,1997
Expository Writing,Tara McCarthy,0590103873,Juvenile Nonfiction,100,100,1998
Scary stories 3,Alvin Schwartz,0590135899,Folklore,100,100,1991
Descriptive Writing,Tara McCarthy,0590209329,Language Arts & Disciplines,100,100,1998
Persuasive Writing,Tara McCarthy,0590209345,Juvenile Nonfiction,100,100,1998
P.S. Longer Letter Later,Paula Danziger,0590213113,Friendship,100,100,1999
How Much is that Guinea Pig in the Window?,Joanne Rocklin,0590227165,Contests,100,100,1995
"The lion, the witch and the wardrobe",Clive Staples Lewis,0590254766,Fantasy,100,100,1995
Something Fishy at Macdonald Hall,Gordon Korman,0590255223,Juvenile Fiction,100,100,2000
Run,William Sleator,0590317679,Detective and mystery stories,100,100,1973
Blind Flight,Hilary Milton,0590321145,Blind,100,100,1982
Trapped!,Arthur Roth,0590326295,Survival,100,100,1983
The Trolley Car Family,Eleanor Clymer,0590407325,Family life,100,100,1987
Mrs. Piggle-Wiggle's farm,Betty MacDonald,0590413813,Behavior,100,100,1987
Radio Fifth Grade,Gordon Korman,0590419277,Juvenile Fiction,100,100,1991
Avalanche,Arthur Roth,0590422677,Adult education,100,100,1989
Drina Dances Again,Jean Estoril,0590425579,Acting,100,100,1989
Blubberina,Jahnna N. Malcolm,0590428888,Ballet,100,100,1989
The Littles and the Lost Children,John Peterson,0590430262,Juvenile Fiction,100,100,1991
Vampires Don't Wear Polka Dots,Debbie Dadey;Marcia Thornton Jones,059043411X,Juvenile Fiction,100,100,1990
Werewolves Don't Go to Summer Camp,Debbie Dadey;Marcia Thornton Jones,0590440616,Juvenile Fiction,100,100,1991
Koko's Kitten,Francine Patterson;Ronald H. Cohn,0590444255,Juvenile Nonfiction,100,100,1987
The Stranger,Caroline B. Cooney,0590456806,Horror stories.,100,100,1993
The mystery of the missing cat,Gertrude Chandler Warner,0590475363,Cats,100,100,1994
These Happy Golden Years,Laura Ingalls Wilder,0590488120,Adventure stories,100,100,1953
On the Banks of Plum Creek,Laura Ingalls Wilder,0590488155,Family,100,100,1965
Babysitters Club,Ann M. Martin,0590598872,Juvenile Fiction,100,100,1995
Mary Anne and the Little Princess,Ann M. Martin,0590692089,Juvenile Fiction,100,100,1996
"Good-bye Stacey, Good-bye",Ann M. Martin,0590764705,English language,100,100,1988
Angels Don't Know Karate,Debbie Dadey;Marcia Thornton Jones,0590849026,Juvenile Fiction,100,100,1996
The Littles and Their Amazing New Friend,John Peterson,0590876120,Juvenile Fiction,100,100,1999
The Meanest Thing to Say,Bill Cosby;Varnette P. Honeywood,0590956167,Juvenile Fiction,100,100,1997
The BFG,Roald Dahl,0590975005,Dreams,100,100,1982
Wanted!,Caroline B. Cooney,0590988492,Juvenile Fiction,100,100,1997
The Illustrated A Brief History of Time,Stephen W. Hawking,0593040597,Cosmology,100,100,1996
A Brief History of Time,Stephen Hawking,0593043162,Cosmology,100,100,1998
Firedrake,Richard A. Knaak,0595092144,Fiction,100,100,2000
Vesco from Wall Street to Castro's Cuba,Arthur Herzog,0595272096,BIOGRAPHY & AUTOBIOGRAPHY,100,100,2003
The Changeling,Zilpha Keatley Snyder,0595321801,Juvenile Fiction,100,100,2004
High performance MySQL,Jeremy D. Zawodny;Derek J. Balling,0596003064,Computers,100,100,2004
Hackers & Painters,Paul Graham,0596006624,Computers,100,100,2004
BSD Hacks,Dru Lavigne,0596006799,Computers,100,100,2004
IMovie 4 & IDVD,David Pogue,0596006934,Computers,100,100,2004
Ruby Cookbook,Lucas Carlson;Leonard Richardson,0596523696,Computers,100,100,2006
MySQL Cookbook,Paul DuBois,059652708X,Computers,100,100,2007
CSS Cookbook,Christopher Schmitt,0596527411,Computers,100,100,2006
The New Hite Report,Shere Hite,0600601161,Sexual behavior surveys,100,100,2000
One Hundred Years of Solitude,Gabriel Garcia Marquez;Gregory Rabassa,0606349154,Fiction,100,100,2006
The Barefoot Contessa Cookbook,Ina Garten,0609602195,Cooking,100,100,1999
Execution,Larry Bossidy;Ram Charan;Charles Burck,0609610570,Business & Economics,100,100,2002
Full House,Stephen Jay Gould,0609801406,Science,100,100,1997
Awakening Intuition,Mona Lisa Schulz,0609804243,Health & Fitness,100,100,1999
Dispatches from the Tenth Circle,Robert Siegel,0609808346,Humor,100,100,2001
Theater Shoes,Noel Streatfeild,0613013379,Juvenile Fiction,100,100,1994
The Princess Diaries,Meg Cabot,0613371658,Juvenile Fiction,100,100,2001
Laura Ingalls Wilder Country,"William Anderson;William T Anderson, Ed.",0613926552,History,100,100,1990
East of Eden,John Steinbeck,0613996984,Fiction,100,100,1992
The Two Towers,John Ronald Reuel Tolkien,0618002235,Fiction,100,100,1994
Farmer Giles of Ham,John Ronald Reuel Tolkien,0618009361,Fiction,100,100,1999
The ring sets out,John Ronald Reuel Tolkien,0618042202,"Baggins, Frodo (Fictitious character)",100,100,1994
Unweaving the Rainbow,Richard Dawkins,0618056734,Science,100,100,2000
Baumgartner's Bombay,Anita Desai,0618056807,Fiction,100,100,2000
The 42nd Parallel,John Dos Passos,0618056815,Fiction,100,100,2000
Nineteen Nineteen,John Dos Passos,0618056823,Fiction,100,100,2000
The Big Money,John Dos Passos,0618056831,Fiction,100,100,2000
The Letters of J.R.R. Tolkien,John Ronald Reuel Tolkien,0618056998,Biography & Autobiography,100,100,2000
J.R.R. Tolkien,Humphrey Carpenter,0618057021,Biography & Autobiography,100,100,2000
The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,0618057072,Philosophy,100,100,2000
Clear Light of Day,Anita Desai,0618074511,Fiction,100,100,2000
The History of the Lord of the Rings,John Ronald Reuel Tolkien;Christopher Tolkien,0618083553,Fiction,100,100,2000
The Return of the Shadow,John Ronald Reuel Tolkien;Christopher Tolkien,061808357X,Fiction,100,100,2000
J.R.R. Tolkien,Wayne G. Hammond;Christina Scull,0618083618,Art,100,100,2000
The Heart is a Lonely Hunter,Carson McCullers,0618084746,Fiction,100,100,2000
Once a Wolf,Stephen R. Swinburne;Jim Brandenburg,0618111204,Juvenile Nonfiction,100,100,2001
Stern Men,Elizabeth Gilbert,061812733X,Fiction,100,100,2001
Colter,Rick Bass,0618127364,Biography & Autobiography,100,100,2001
Chimera,John Barth,0618131701,Fiction,100,100,2001
Henry Adams and the Making of America,Garry Wills;Pulitzer Prize-Winning Journalist and Historian Garry Wills,0618134301,Biography & Autobiography,100,100,2005
Nixon Agonistes,Garry Wills,0618134328,Biography & Autobiography,100,100,2002
The Lord of the Rings,J. R. R. Tolkien,0618153977,Fiction,100,100,2001
Hear the Wind Blow,Mary Downing Hahn,0618181903,Juvenile Fiction,100,100,2003
Midnight is a Place,Joan Aiken,0618196250,Juvenile Fiction,100,100,2002
Silent Spring,Rachel Carson,0618249060,Nature,100,100,2002
The Best American Sports Writing 2003,Glenn Stout;Buzz Bissinger,0618251324,Sports & Recreation,100,100,2003
Two of Us,Peter Smith,0618251456,Biography & Autobiography,100,100,2004
Queen of Scots,John Alexander Guy,0618254110,History,100,100,2004
